poem_key,title,author,dynasty,content,sequence
poem_01,咏柳,贺知章,唐,碧玉妆成一树高\n万条垂下绿丝绦\n不知细叶谁裁出\n二月春风似剪刀,1
poem_02,绝句,杜甫,唐,两个黄鹂鸣翠柳\n一行白鹭上青天\n窗含西岭千秋雪\n门泊东吴万里船,2
poem_03,江南,汉乐府,汉,江南可采莲\n莲叶何田田\n鱼戏莲叶间\n鱼戏莲叶东\n鱼戏莲叶西\n鱼戏莲叶南\n鱼戏莲叶北,3
poem_04,池上,白居易,唐,小娃撑小艇\n偷采白莲回\n不解藏踪迹\n浮萍一道开,4
poem_05,赋得古原草送别,白居易,唐,离离原上草\n一岁一枯荣\n野火烧不尽\n春风吹又生\n远芳侵古道\n晴翠接荒城\n又送王孙去\n萋萋满别情,5
poem_06,鹿柴,王维,唐,空山不见人\n但闻人语响\n返景入深林\n复照青苔上,6
poem_07,元日,王安石,宋,爆竹声中一岁除\n春风送暖入屠苏\n千门万户曈曈日\n总把新桃换旧符,7
poem_08,忆江南,白居易,唐,江南好\n风景旧曾谙\n日出江花红胜火\n春来江水绿如蓝\n能不忆江南,8
poem_09,饮湖上初晴后雨,苏轼,宋,水光潋滟晴方好\n山色空蒙雨亦奇\n欲把西湖比西子\n淡妆浓抹总相宜,9
poem_10,春晓,孟浩然,唐,春眠不觉晓\n处处闻啼鸟\n夜来风雨声\n花落知多少,10
poem_11,寻隐者不遇,贾岛,唐,松下问童子\n言师采药去\n只在此山中\n云深不知处,11
poem_12,风,李峤,唐,解落三秋叶\n能开二月花\n过江千尺浪\n入竹万竿斜,12
poem_13,春夜喜雨,杜甫,唐,好雨知时节\n当春乃发生\n随风潜入夜\n润物细无声\n野径云俱黑\n江船火独明\n晓看红湿处\n花重锦官城,13
poem_14,敕勒歌,北朝民歌,北朝,敕勒川\n阴山下\n天似穹庐\n笼盖四野\n天苍苍\n野茫茫\n风吹草低见牛羊,14
poem_15,静夜思,李白,唐,床前明月光\n疑是地上霜\n举头望明月\n低头思故乡,15
poem_16,古朗月行,李白,唐,小时不识月\n呼作白玉盘\n又疑瑶台镜\n飞在青云端,16
poem_17,江畔独步寻花,杜甫,唐,黄四娘家花满蹊\n千朵万朵压枝低\n留连戏蝶时时舞\n自在娇莺恰恰啼,17
poem_18,悯农·其一,李绅,唐,春种一粒粟\n秋收万颗子\n四海无闲田\n农夫犹饿死,18
poem_19,游园不值,叶绍翁,宋,应怜屐齿印苍苔\n小扣柴扉久不开\n春色满园关不住\n一枝红杏出墙来,19
poem_20,西江月·夜行黄沙道中,辛弃疾,宋,明月别枝惊鹊\n清风半夜鸣蝉\n稻花香里说丰年\n听取蛙声一片\n七八个星天外\n两三点雨山前\n旧时茅店社林边\n路转溪桥忽见,20
poem_21,浣溪沙,晏殊,宋,一曲新词酒一杯\n去年天气旧亭台\n夕阳西下几时回\n无可奈何花落去\n似曾相识燕归来\n小园香径独徘徊,21
poem_22,蜂,罗隐,唐,不论平地与山尖\n无限风光尽被占\n采得百花成蜜后\n为谁辛苦为谁甜,22
poem_23,所见,袁枚,清,牧童骑黄牛\n歌声振林樾\n意欲捕鸣蝉\n忽然闭口立,23
poem_24,渔歌子,张志和,唐,西塞山前白鹭飞\n桃花流水鳜鱼肥\n青箬笠\n绿蓑衣\n斜风细雨不须归,24
poem_25,望洞庭,刘禹锡,唐,湖光秋月两相和\n潭面无风镜未磨\n遥望洞庭山水翠\n白银盘里一青螺,25
poem_26,咏鹅,骆宾王,唐,鹅，鹅，鹅\n曲项向天歌\n白毛浮绿水\n红掌拨清波,26
poem_27,清明,杜牧,唐,清明时节雨纷纷\n路上行人欲断魂\n借问酒家何处有\n牧童遥指杏花村,27
poem_28,江雪,柳宗元,唐,千山鸟飞绝\n万径人踪灭\n孤舟蓑笠翁\n独钓寒江雪,28
