poem_key,title,author,dynasty,content,sequence
poem_29,早春呈水部张十八员外,韩愈,唐,天街小雨润如酥\n草色遥看近却无\n最是一年春好处\n绝胜烟柳满皇都,29
poem_30,宿新市徐公店,杨万里,宋,篱落疏疏一径深\n树头新绿未成阴\n儿童急走追黄蝶\n飞入菜花无处寻,30
poem_31,赠汪伦,李白,唐,李白乘舟将欲行\n忽闻岸上踏歌声\n桃花潭水深千尺\n不及汪伦送我情,31
poem_32,望庐山瀑布,李白,唐,日照香炉生紫烟\n遥看瀑布挂前川\n飞流直下三千尺\n疑是银河落九天,32
poem_33,夜书所见,叶绍翁,宋,萧萧梧叶送寒声\n江上秋风动客情\n知有儿童挑促织\n夜深篱落一灯明,33
poem_34,送元二使安西,王维,唐,渭城朝雨浥轻尘\n客舍青青柳色新\n劝君更尽一杯酒\n西出阳关无故人,34
poem_35,夜宿山寺,李白,唐,危楼高百尺\n手可摘星辰\n不敢高声语\n恐惊天上人,35
poem_36,登鹳雀楼,王之涣,唐,白日依山尽\n黄河入海流\n欲穷千里目\n更上一层楼,36
poem_37,游子吟,孟郊,唐,慈母手中线\n游子身上衣\n临行密密缝\n意恐迟迟归\n谁言寸草心\n报得三春晖,37
poem_38,山行,杜牧,唐,远上寒山石径斜\n白云生处有人家\n停车坐爱枫林晚\n霜叶红于二月花,38
poem_39,游山西村,陆游,宋,莫笑农家腊酒浑\n丰年留客足鸡豚\n山重水复疑无路\n柳暗花明又一村\n箫鼓追随春社近\n衣冠简朴古风存\n从今若许闲乘月\n拄杖无时夜叩门,39
poem_40,小儿垂钓,胡令能,唐,蓬头稚子学垂纶\n侧坐莓苔草映身\n路人借问遥招手\n怕得鱼惊不应人,40
poem_41,题西林壁,苏轼,宋,横看成岭侧成峰\n远近高低各不同\n不识庐山真面目\n只缘身在此山中,41
poem_42,小池,杨万里,宋,泉眼无声惜细流\n树阴照水爱晴柔\n小荷才露尖尖角\n早有蜻蜓立上头,42
poem_43,悯农·其一（锄禾）,李绅,唐,锄禾日当午\n汗滴禾下土\n谁知盘中餐\n粒粒皆辛苦,43
