character,pinyin_marked,meaning,word_1,word_2,example_sentence,sequence
一,yī,数字一，表示一个,一个,第一,洛阳亲友如相问，一片冰心在玉壶。,1
二,èr,数字二,二月,第二,不知细叶谁裁出，二月春风似剪刀。,2
三,sān,数字三,三个,三月,三山半落青天外，二水中分白鹭洲。,3
个,gè,常用量词,一个,个子,我们一起学习“一个”这个词。,4
车,chē,常用汉字；可组成“火车”和“汽车”等词语,火车,汽车,停车坐爱枫林晚，霜叶红于二月花。,5
只,zhī,常用量词；也表示仅仅,一只,只有,只在此山中，云深不知处。,6
有,yǒu,表示存在或拥有,没有,有用,我们一起学习“没有”这个词。,7
风,fēng,常用汉字；可组成“大风”和“春风”等词语,大风,春风,夜来风雨声，花落知多少。,8
田,tián,常用汉字；可组成“田地”和“农田”等词语,田地,农田,我们一起学习“田地”这个词。,9
里,lǐ,常用汉字；可组成“里面”和“千里”等词语,里面,千里,欲穷千里目，更上一层楼。,10
在,zài,表示位置、时间或正在进行,现在,正在,只在此山中，云深不知处。,11
白,bái,常用汉字；可组成“白色”和“明白”等词语,白色,明白,白日依山尽，黄河入海流。,12
马,mǎ,常用汉字；可组成“小马”和“马上”等词语,小马,马上,春风得意马蹄疾，一日看尽长安花。,13
出,chū,常用汉字；可组成“出去”和“日出”等词语,出去,日出,日出江花红胜火，春来江水绿如蓝。,14
女,nǚ,常用汉字；可组成“女孩”和“女儿”等词语,女孩,女儿,我们一起学习“女孩”这个词。,15
刀,dāo,常用汉字；可组成“小刀”和“剪刀”等词语,小刀,剪刀,不知细叶谁裁出，二月春风似剪刀。,16
木,mù,常用汉字；可组成“木头”和“树木”等词语,木头,树木,无边落木萧萧下，不尽长江滚滚来。,17
鸟,niǎo,常用汉字；可组成“小鸟”和“鸟儿”等词语,小鸟,鸟儿,千山鸟飞绝，万径人踪灭。,18
伞,sǎn,常用汉字；可组成“雨伞”和“打伞”等词语,雨伞,打伞,我们一起学习“雨伞”这个词。,19
瓜,guā,常用汉字；可组成“西瓜”和“瓜子”等词语,西瓜,瓜子,我们一起学习“西瓜”这个词。,20
气,qì,常用汉字；可组成“空气”和“生气”等词语,空气,生气,空山新雨后，天气晚来秋。,21
飞,fēi,常用汉字；可组成“飞鸟”和“飞机”等词语,飞鸟,飞机,千山鸟飞绝，万径人踪灭。,22
虫,chóng,常用汉字；可组成“小虫”和“虫子”等词语,小虫,虫子,今夜偏知春气暖，虫声新透绿窗纱。,23
米,mǐ,常用汉字；可组成“大米”和“米饭”等词语,大米,米饭,我们一起学习“大米”这个词。,24
云,yún,常用汉字；可组成“白云”和“云朵”等词语,白云,云朵,朝辞白帝彩云间，千里江陵一日还。,25
石,shí,常用汉字；可组成“石头”和“石桥”等词语,石头,石桥,明月松间照，清泉石上流。,26
了,le,表示动作完成或情况变化,好了,来了,我们一起学习“好了”这个词。,27
来,lái,常用汉字；可组成“回来”和“来到”等词语,回来,来到,夜来风雨声，花落知多少。,28
回,huí,常用汉字；可组成“回家”和“回头”等词语,回家,回头,少小离家老大回，乡音无改鬓毛衰。,29
少,shǎo,常用汉字；可组成“多少”和“少年”等词语,多少,少年,少小离家老大回，乡音无改鬓毛衰。,30
问,wèn,常用汉字；可组成“问题”和“问好”等词语,问题,问好,笑问客从何处来。,31
早,zǎo,常用汉字；可组成“早上”和“早安”等词语,早上,早安,我们一起学习“早上”这个词。,32
巴,bā,可指尾巴、嘴巴等词中的字,尾巴,嘴巴,我们一起学习“尾巴”这个词。,33
工,gōng,劳动、工作,工人,工作,我们一起学习“工人”这个词。,34
千,qiān,常用汉字；可组成“千万”和“千里”等词语,千万,千里,千山鸟飞绝，万径人踪灭。,35
几,jǐ,询问不确定的数量,几个,几乎,几处早莺争暖树，谁家新燕啄春泥。,36
男,nán,常用汉字；可组成“男孩”和“男人”等词语,男孩,男人,我们一起学习“男孩”这个词。,37
坐,zuò,常用汉字；可组成“坐下”和“坐车”等词语,坐下,坐车,停车坐爱枫林晚，霜叶红于二月花。,38
打,dǎ,常用汉字；可组成“打开”和“打球”等词语,打开,打球,我们一起学习“打开”这个词。,39
四,sì,数字四,四个,四季,四海无闲田，农夫犹饿死。,40
闪,shǎn,常用汉字；可组成“闪光”和“闪电”等词语,闪光,闪电,我们一起学习“闪光”这个词。,41
的,de,常用助词，表示所属或修饰,好的,我的,我们一起学习“好的”这个词。,42
花,huā,常用汉字；可组成“花朵”和“开花”等词语,花朵,开花,夜来风雨声，花落知多少。,43
朵,duǒ,常用汉字；可组成“一朵”和“云朵”等词语,一朵,云朵,我们一起学习“一朵”这个词。,44
果,guǒ,常用汉字；可组成“水果”和“果实”等词语,水果,果实,我们一起学习“水果”这个词。,45
比,bǐ,比较两个事物,比较,比赛,我们一起学习“比较”这个词。,46
午,wǔ,常用汉字；可组成“中午”和“午饭”等词语,中午,午饭,锄禾日当午，汗滴禾下土。,47
高,gāo,常用汉字；可组成“高山”和“长高”等词语,高山,长高,危楼高百尺，手可摘星辰。,48
包,bāo,常用汉字；可组成“书包”和“面包”等词语,书包,面包,我们一起学习“书包”这个词。,49
文,wén,常用汉字；可组成“文字”和“中文”等词语,文字,中文,我们一起学习“文字”这个词。,50
平,píng,平坦、平安或相等,平安,平地,潮平两岸阔，风正一帆悬。,51
我,wǒ,说话人自己,我们,我的,我们一起学习“我们”这个词。,52
连,lián,连接在一起；连续,连忙,连接,我们一起学习“连忙”这个词。,53
元,yuán,货币单位；也表示开始,一元,元旦,我们一起学习“一元”这个词。,54
丁,dīng,天干第四位，也用于人名或形状,园丁,丁字,我们一起学习“园丁”这个词。,55
厂,chǎng,生产物品的地方,工厂,厂房,我们一起学习“工厂”这个词。,56
见,jiàn,常用汉字；可组成“看见”和“再见”等词语,看见,再见,天苍苍，野茫茫，风吹草低见牛羊。,57
兔,tù,常用汉字；可组成“兔子”和“白兔”等词语,兔子,白兔,白兔捣药秋复春，嫦娥孤栖与谁邻。,58
禾,hé,常用汉字；可组成“禾苗”和“锄禾”等词语,禾苗,锄禾,锄禾日当午，汗滴禾下土。,59
是,shì,表示判断或确认,可是,就是,我们一起学习“可是”这个词。,60
把,bǎ,表示拿、握，也可作量词,一把,把手,我们一起学习“一把”这个词。,61
