character,pinyin_marked,meaning,word_1,word_2,example_sentence,sequence
读,dú,看着文字念出来；理解书里的内容,读书,朗读,读书破万卷，下笔如有神。,365
写,xiě,用笔把字、话或想法写下来,写字,书写,纸上得来终觉浅，绝知此事要躬行。,366
字,zì,记录语言的文字和符号,写字,汉字,云中谁寄锦书来？雁字回时，月满西楼。,367
习,xí,反复学习和练习,学习,复习,黑发不知勤学早，白首方悔读书迟。,368
答,dá,回应别人提出的问题,回答,问答,松下问童子，言师采药去。,369
思,sī,动脑想；想念,思考,思念,举头望明月，低头思故乡。,370
话,huà,人说出来的语言,说话,话语,儿童相见不相识，笑问客从何处来。,371
请,qǐng,礼貌地请求别人做事,请问,请坐,请君试问东流水，别意与之谁短长？,372
时,shí,时间；时候,时间,小时,清明时节雨纷纷，路上行人欲断魂。,373
晚,wǎn,一天中太阳落山以后的一段时间,晚上,夜晚,停车坐爱枫林晚，霜叶红于二月花。,374
再,zài,又一次；接着发生,再见,再来,山重水复疑无路，柳暗花明又一村。,375
每,měi,表示一个一个都包括在内,每天,每次,独在异乡为异客，每逢佳节倍思亲。,376
现,xiàn,显露出来；也指现在,现在,发现,横看成岭侧成峰，远近高低各不同。,377
用,yòng,使用；拿来做某件事,使用,有用,令公桃李满天下，何用堂前更种花。,378
房,fáng,住人或放东西的屋子,房间,房屋,安得广厦千万间，大庇天下寒士俱欢颜！,379
屋,wū,房子；房间,屋子,房屋,八月秋高风怒号，卷我屋上三重茅。,380
姐,jiě,比自己年长的女性兄弟姐妹,姐姐,姐妹,阿姊闻妹来，当户理红妆。,381
妹,mèi,比自己年幼的女性兄弟姐妹,妹妹,姐妹,阿姊闻妹来，当户理红妆。,382
猫,māo,常见的家养小动物，会捉老鼠,小猫,花猫,溪柴火软蛮毡暖，我与狸奴不出门。,383
懂,dǒng,明白其中的意思,懂得,听懂,纸上得来终觉浅，绝知此事要躬行。,384
句,jù,由词组成、能表达完整意思的一段话,句子,诗句,两句三年得，一吟双泪流。,385
词,cí,语言中有意义、可以组合成句子的单位,词语,诗词,为赋新词强说愁。,386
新,xīn,刚有的；没有用过很久的,新的,新年,渭城朝雨浥轻尘，客舍青青柳色新。,387
旧,jiù,使用或存在时间比较久的,旧的,旧书,旧时王谢堂前燕，飞入寻常百姓家。,388
短,duǎn,长度小；与“长”相对,长短,短小,请君试问东流水，别意与之谁短长？,389
低,dī,位置离地面近；与“高”相对,高低,低头,天苍苍，野茫茫，风吹草低见牛羊。,390
向,xiàng,朝着某个方向；面对,方向,向前,向晚意不适，驱车登古原。,391
菜,cài,可以做成饭菜吃的植物,蔬菜,白菜,梅子金黄杏子肥，麦花雪白菜花稀。,392
站,zhàn,身体直立，脚着地不坐下,站立,车站,危楼高百尺，手可摘星辰。,393
游,yóu,在水里移动；也指到各处玩或参观,游泳,游玩,慈母手中线，游子身上衣。,394
外,wài,不在里面；与“里”相对,外面,屋外,姑苏城外寒山寺，夜半钟声到客船。,395
前,qián,在正面或较早的位置；与“后”相对,前面,以前,床前明月光，疑是地上霜。,396
左,zuǒ,面向前方时身体左手所在的一边,左边,左右,老夫聊发少年狂，左牵黄，右擎苍。,397
右,yòu,面向前方时身体右手所在的一边,右边,左右,老夫聊发少年狂，左牵黄，右擎苍。,398
东,dōng,太阳升起的方向,东方,东边,东边日出西边雨，道是无晴却有晴。,399
西,xī,太阳落下的方向,西方,西边,东边日出西边雨，道是无晴却有晴。,400
边,biān,物体的边缘；某个方向或地方,旁边,东边,无边落木萧萧下，不尽长江滚滚来。,401
